date,temperature,rainfall,windspeed,humidity,aqi,co,no2,so2,water_quality,industry_emission,day_of_week,traffic_density,population_density,forest_cover_ha,urban_expansion_rate,drought_index,time_of_day,crisis_score,crisis_label,health_risk_label,traffic_status_label
2020-01-01,21.6,1.9,18.5,80,0.0,0.0,0.0,0.0,82.74685661204494,4.23279713923881,2,2.987269645423778,12000.0,115225.30652471569,2.0457296150684194,0.1725314338795506,12,5.870607980180816,0,0,0
2020-01-02,22.4,1.0,15.1,77,0.0,0.0,0.0,0.0,79.84694279531527,0.0,3,7.282805921093227,12001.369112814897,115034.26706525526,0.20740344142297157,0.20153057204684732,12,6.191573279827283,0,0,0
2020-01-03,23.0,0.0,14.0,73,0.0,0.0,0.0,0.0,82.59075415240277,0.056548868834542985,4,0.14356933815883882,12002.738225629791,115004.15264331219,0.8114577394705532,0.17409245847597232,12,5.234127471367528,0,0,0
2020-01-04,23.4,0.0,13.2,70,0.0,0.0,0.0,0.0,86.0921194256321,2.1246432697696713,5,0.0,12004.107338444688,113786.48844569476,0.7723218850609114,0.13907880574367892,12,4.491060662775819,0,0,0
2020-01-05,23.3,0.2,16.6,73,0.0,0.0,0.0,0.0,79.14338650110665,0.6996483937905049,6,3.2097924794696016,12005.476451259583,115344.09788559256,0.4504405734210597,0.2085661349889335,12,6.426127158325974,0,0,0
2020-01-06,22.4,0.0,19.0,78,0.0,0.0,0.0,0.0,79.06345217220328,2.859409901739735,0,44.25062078794484,12006.84556407448,115031.48627481062,0.7940278092554635,0.20936547827796714,12,7.594888249358872,0,0,0
2020-01-07,22.0,0.0,19.7,73,0.0,0.0,0.0,0.0,86.31685126202956,0.8613724956054727,1,0.0,12008.214676889376,115171.4547055056,0.8434367539429681,0.1368314873797044,12,4.234150495731953,0,0,0
2020-01-08,22.5,0.0,16.4,67,0.0,0.0,0.0,0.0,83.06973891661164,0.0,2,0.0,12009.583789704271,114594.43319649594,1.352522708625948,0.16930261083388354,12,5.079078325016508,0,0,0
2020-01-09,22.8,0.0,17.9,67,0.0,0.0,0.0,0.0,78.1221024562602,1.0845105756183049,3,7.4669711942279635,12010.952902519168,114750.81646741177,1.6928907494230145,0.2187789754373981,12,6.875385273349247,0,0,0
2020-01-10,21.7,0.0,18.4,67,0.0,0.0,0.0,0.0,82.17024017434386,0.0,4,6.2475642093314345,12012.322015334064,114730.41305201128,1.0146412326683538,0.17829759825656144,12,5.473879231883471,0,0,0
2020-01-11,20.9,0.0,18.0,64,0.0,0.0,0.0,0.0,78.14632922875015,0.32567911732956945,5,23.85470330832829,12013.69112814896,115439.61762566194,1.8267285551521149,0.21853670771249856,12,7.082047165140956,0,0,0
2020-01-12,20.6,0.0,18.4,70,0.0,0.0,0.0,0.0,78.13708098571897,0.0,6,0.0,12015.060240963856,114732.3068286864,0.9067968125909919,0.21862919014281035,12,6.558875704284309,0,0,0
2020-01-13,22.2,0.0,14.8,65,0.0,0.0,0.0,0.0,80.96784908626414,0.0,0,14.627605051499849,12016.42935377875,115955.8975214054,0.7966808255554247,0.19032150913735857,12,6.002197375150756,0,0,0
2020-01-14,22.0,0.0,17.3,61,0.0,0.0,0.0,0.0,72.3468790213688,0.0,1,11.80844122502927,12017.798466593647,115122.87918322055,1.3988513340568585,0.27653120978631196,12,8.532105118089943,0,0,0
2020-01-15,20.7,0.0,18.4,60,0.0,0.0,0.0,0.0,73.10032866994787,0.0,2,0.0,12019.167579408544,114262.48725707771,0.15691926473389745,0.26899671330052133,12,8.069901399015638,0,0,0
2020-01-16,21.0,0.0,17.8,65,0.0,0.0,0.0,0.0,77.75084988303611,0.0,3,6.7737463584338,12020.536692223439,114828.93605381214,0.29149389672160086,0.2224915011696389,12,6.810219962257842,0,0,0
2020-01-17,21.7,0.0,17.3,63,0.0,0.0,0.0,0.0,75.9486755186623,0.27853470342334413,4,20.589149631967146,12021.905805038336,114560.25225272245,1.103126904607665,0.240513244813377,12,7.668960542554154,0,0,0
2020-01-18,22.1,0.1,18.2,77,0.0,0.0,0.0,0.0,81.2969893303811,0.4795691759922011,5,17.446307600569007,12023.27491785323,113781.77919225318,2.3629905073402155,0.18703010669618902,12,6.031764729295882,0,0,0
2020-01-19,22.7,0.2,17.8,70,0.0,0.0,0.0,0.0,76.44790369791515,0.0,6,0.0,12024.644030668127,115671.58651058264,1.8316282716242167,0.23552096302084846,12,7.0656288906254545,0,0,0
2020-01-20,23.3,0.0,21.3,62,0.0,0.0,0.0,0.0,74.35078519465884,3.7971235225941022,0,16.40316373510969,12026.013143483024,115216.30292499828,0.3115037668013386,0.2564921480534116,12,8.592396244693656,0,0,0
2020-01-21,22.1,0.0,21.3,60,0.0,0.0,0.0,0.0,85.86259507568622,0.0,1,0.0,12027.382256297919,115124.21592620047,2.131163230674097,0.1413740492431379,12,4.241221477294135,0,0,0
2020-01-22,21.8,0.0,20.2,69,0.0,0.0,0.0,0.0,79.09689479805385,2.9083716015802104,2,1.4574819603103077,12028.751369112815,114933.19471076321,1.8575218494596344,0.20903105201946148,12,6.7363369400270825,0,0,0
2020-01-23,22.3,0.0,19.6,66,0.0,0.0,0.0,0.0,80.2701128187517,1.2815830856150545,3,1.46393982003389,12030.12048192771,114152.36470962968,1.5662716616863677,0.19729887181248307,12,6.140482413617426,0,0,0
2020-01-24,22.3,0.0,16.3,56,0.0,0.0,0.0,0.0,74.30100725514617,0.0,4,0.0,12031.489594742607,114594.44553756074,2.0687031054620255,0.2569899274485382,12,7.709697823456148,0,0,0
2020-01-25,22.1,0.0,17.0,45,0.0,0.0,0.0,0.0,77.82246910189927,5.325932677828536,5,23.8341499421413,12032.858707557503,115250.02510809299,1.069863634583097,0.22177530898100728,12,7.928832169947325,0,0,0
2020-01-26,22.5,0.0,14.8,51,0.0,0.0,0.0,0.0,80.44369035883946,0.0,6,0.0,12034.227820372398,114296.40531917228,0.6316025220492465,0.1955630964116054,12,5.866892892348162,0,0,0
2020-01-27,23.1,0.0,15.0,54,0.0,0.0,0.0,0.0,75.3960256903108,2.7574625208300043,0,0.0,12035.596933187295,113549.01128930066,1.3288561338610225,0.24603974309689203,12,7.794811671031263,0,0,0
2020-01-28,23.1,0.0,12.0,58,0.0,0.0,0.0,0.0,81.5027920733827,3.0017469541289348,1,0.0,12036.966046002191,114694.22355689814,1.4172202134243372,0.1849720792661731,12,5.999424421104531,0,0,0
2020-01-29,23.9,0.0,13.7,58,0.0,0.0,0.0,0.0,77.59744524032477,0.0,2,3.573894336209512,12038.335158817086,114729.77839713737,1.391983292823789,0.2240255475967523,12,6.792244314626758,0,0,0
2020-01-30,23.9,0.0,12.7,54,0.0,0.0,0.0,0.0,78.8332250008269,4.177395900192987,3,24.584295685941008,12039.704271631983,114861.31949572105,1.4561770995522527,0.211667749991731,12,7.468327798499698,0,0,0
2020-01-31,24.3,0.0,20.5,54,0.0,0.0,0.0,0.0,77.59317355108242,0.0,4,12.061893698976672,12041.073384446878,115150.67772263351,2.376891803774034,0.22406826448917583,12,6.963285808654808,0,0,0
2020-02-01,23.0,0.0,16.8,62,0.0,0.0,0.0,0.0,87.40911273803574,0.8660808878395712,5,0.0,12042.442497261774,115098.10192035437,2.2653894954309552,0.12590887261964256,12,3.9071783117652124,0,0,0
2020-02-02,22.9,0.0,17.4,61,0.0,0.0,0.0,0.0,79.94601110104827,0.7809655163136622,6,49.70379833357783,12043.811610076671,114901.56453022327,2.2017208877414545,0.20053988898951725,12,7.127417463804125,0,0,0
2020-02-03,22.5,0.0,16.6,53,0.0,0.0,0.0,0.0,75.7691562841764,0.0,0,5.295506219559592,12045.180722891566,115362.8259350072,2.023400346180705,0.2423084371582359,12,7.3751632391382715,0,0,0
