date,aqi,water_quality,temperature,humidity,population_density,traffic_density,rainfall,urban_expansion_rate,forest_cover_ha,day_of_week,time_of_day,health_risk_label,traffic_status_label
2015-01-01,472.0,77.1878506881328,25.0,62.483570765056164,1000.0,697.6461485426157,0.760384890711469,0.7064311065744376,100000.0,3,12,2,0
2015-01-02,454.0,64.376149972684,25.172101410942236,58.9644756722596,1000.0996015936255,679.2381751194185,3.222199211227731,0.885259853989391,100007.47011952191,4,12,0,1
2015-01-03,143.0,68.51430018538288,25.344151843572078,62.550139003359305,1000.199203187251,257.89873176161086,2.3731362722062337,1.3890897958881758,100014.94023904382,5,12,3,2
2015-01-04,319.0,68.39623808372478,25.51610033467745,66.58294861268523,1000.2988047808765,450.02634726232156,1.7919840751086245,0.6077747355743255,100022.41035856574,6,12,3,1
2015-01-05,325.0,67.45653651883444,25.687895951242474,57.45344122389837,1000.398406374502,450.46314536850684,2.1778427571386123,2.0467750278100136,100029.88047808765,0,12,3,0
2015-01-06,318.0,76.21763030689154,25.859487805534386,57.11033960418533,1000.4980079681275,492.6717932959721,1.9824671246356516,1.956727948013826,100037.35059760956,1,12,1,1
2015-01-07,353.0,71.01545677104748,26.030825070177006,65.83441393718294,1000.597609561753,515.9271387741179,1.3271947872616616,0.4487001087178759,100044.82071713147,2,12,1,2
2015-01-08,383.0,70.57649729684374,26.201856993206395,61.433459659351755,1000.6972111553785,568.1352494451476,5.0958805914051,1.213191356359917,100052.29083665338,3,12,2,0
2015-01-09,375.0,61.79442172141417,26.372532913104124,54.907562244116995,1000.796812749004,546.8768724373778,5.5897398060568575,1.9595866399710913,100059.76095617529,4,12,0,0
2015-01-10,376.0,74.90568901414424,26.54280227380377,59.62719567032229,1000.8964143426294,558.8039971846498,2.6638650538399906,0.9095908746481954,100067.23107569721,5,12,2,2
2015-01-11,379.0,65.44740070589955,26.71261463966616,54.25768225660537,1000.9960159362549,600.4707622419269,11.941364554485137,1.619456374522556,100074.70119521912,6,12,3,1
2015-01-12,375.0,71.85870329612214,26.881919710418988,53.90751181131074,1001.0956175298804,578.5425691723624,7.923438051976308,0.22051149149817456,100082.17131474103,0,12,2,1
2015-01-13,366.0,72.86155102176282,27.050667336056275,57.10847668571762,1001.1952191235059,566.2444702377395,5.020155243393582,1.5608530252703632,100089.64143426294,1,12,2,2
2015-01-14,353.0,78.19388921334658,27.218807531693354,45.9959837133243,1001.2948207171315,501.1754588841471,6.090984950484332,0.46636715200145684,100097.11155378485,2,12,2,0
2015-01-15,340.0,64.76275275821797,27.386290492372947,46.60282985268894,1001.394422310757,486.97692526894264,0.9286512298844778,2.093399980274683,100104.58167330676,3,12,3,2
2015-01-16,356.0,56.12590591698691,27.553066607817925,52.082429138159284,1001.4940239043825,477.2184268102915,7.419863915981743,0.9530787125931482,100112.05179282869,4,12,0,0
